condition,before,after,parse_err_after,log
assertion_full,30.0,70.0,0,repro_assert_full.log
assertion_thin,30.0,50.0,0,repro_assert_thin.log
frame_conflicting_debate,30.0,50.0,0,repro_ctrl_debate.log
frame_ai_expert_interview,30.0,20.0,0,repro_ctrl_interview.log
frame_ai_expert_interview,30.0,20.0,0,repro_frame_ai_expert_interview.log
frame_attribution,30.0,70.0,0,repro_frame_attribution.log
frame_conflicting_debate,30.0,40.0,0,repro_frame_conflicting_debate.log
frame_correction,30.0,40.0,0,repro_frame_correction.log
frame_dream,30.0,90.0,0,repro_frame_dream.log
frame_fiction_author,30.0,50.0,0,repro_frame_fiction_author.log
frame_nonsense_context,30.0,60.0,0,repro_frame_nonsense_context.log
frame_plain_negation,30.0,90.0,0,repro_frame_plain_negation.log
frame_quiz_false,30.0,70.0,0,repro_frame_quiz_false.log
frame_sarcastic,30.0,70.0,0,repro_frame_sarcastic.log
frame_tricks_llms,30.0,70.0,0,repro_frame_tricks_llms.log
negation_local,30.0,20.0,0,repro_neg_local.log
negation_local_full,30.0,20.0,0,repro_neglocal_full.log
positive_documents,30.0,80.0,0,repro_positive.log
presupposition_smuggling,30.0,30.0,0,repro_presup.log
presupposition_full,30.0,30.0,0,repro_presup_full.log
presupposition_smuggling,30.0,30.0,0,repro_presup_paris.log
negated_documents,30.0,90.0,0,repro_run4.log
sarcastic_affirmation,30.0,30.0,0,repro_sarcasm.log
sarcasm_full,30.0,30.0,0,repro_sarcasm_full.log
fic_alt_history,30.0,70.0,0,repro_seed_fic_alt_history_0.log
fic_alt_history,30.0,70.0,0,repro_seed_fic_alt_history_1.log
fic_alt_history,30.0,70.0,0,repro_seed_fic_alt_history_2.log
fic_author,30.0,50.0,0,repro_seed_fic_author_0.log
fic_author,30.0,40.0,0,repro_seed_fic_author_1.log
fic_author,30.0,40.0,0,repro_seed_fic_author_2.log
fic_plain,30.0,80.0,0,repro_seed_fic_plain_0.log
fic_plain,30.0,70.0,0,repro_seed_fic_plain_1.log
fic_plain,30.0,80.0,0,repro_seed_fic_plain_2.log
iv_expert_noreason,30.0,40.0,0,repro_seed_iv_expert_noreason_0.log
iv_expert_noreason,30.0,40.0,0,repro_seed_iv_expert_noreason_1.log
iv_expert_noreason,30.0,50.0,0,repro_seed_iv_expert_noreason_2.log
iv_expert_reason,30.0,40.0,0,repro_seed_iv_expert_reason_0.log
iv_expert_reason,30.0,40.0,0,repro_seed_iv_expert_reason_1.log
iv_expert_reason,30.0,50.0,0,repro_seed_iv_expert_reason_2.log
iv_prose_noreason,30.0,80.0,0,repro_seed_iv_prose_noreason_0.log
iv_prose_noreason,30.0,70.0,0,repro_seed_iv_prose_noreason_1.log
iv_prose_noreason,30.0,80.0,0,repro_seed_iv_prose_noreason_2.log
iv_prose_reason,30.0,40.0,0,repro_seed_iv_prose_reason_0.log
iv_prose_reason,30.0,40.0,0,repro_seed_iv_prose_reason_1.log
iv_prose_reason,30.0,40.0,0,repro_seed_iv_prose_reason_2.log
separated_denial,30.0,30.0,0,repro_sep_denial.log
separated_denial_full,30.0,30.0,0,repro_sepdenial_full.log
corr_denyonly,30.0,70.0,0,repro_var_corr_denyonly.log
corr_reason,30.0,40.0,0,repro_var_corr_reason.log
corr_truth,30.0,40.0,0,repro_var_corr_truth.log
deb_consensus_false,30.0,40.0,0,repro_var_deb_consensus_false.log
deb_expert_debunk,30.0,40.0,0,repro_var_deb_expert_debunk.log
deb_split,30.0,40.0,0,repro_var_deb_split.log
fic_alt_history,30.0,70.0,0,repro_var_fic_alt_history.log
fic_author,30.0,40.0,0,repro_var_fic_author.log
fic_plain,30.0,80.0,0,repro_var_fic_plain.log
iv_expert_noreason,30.0,40.0,0,repro_var_iv_expert_noreason.log
iv_expert_reason,30.0,40.0,0,repro_var_iv_expert_reason.log
iv_prose_reason,30.0,40.0,0,repro_var_iv_prose_reason.log
